City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
294,Bilma,NE,2020-10-20 01:18:29,18.69,12.92,77.99,17,0,3.69
295,Arlit,NE,2020-10-20 01:16:01,18.74,7.39,87.08,12,0,8.93
296,Sovetskiy,RU,2020-10-20 01:18:29,61.36,63.58,33.46,96,100,3.38
297,Voyvozh,RU,2020-10-20 01:18:30,62.89,54.96,31.71,99,100,6.6
298,Gorgan,IR,2020-10-20 01:18:30,36.84,54.43,50.0,87,0,2.64
299,Dano,BF,2020-10-20 01:18:30,11.15,-3.07,78.96,60,7,5.3
300,Kiruna,SE,2020-10-20 01:18:30,67.86,20.23,10.4,100,58,3.36
301,Gweru,ZW,2020-10-20 01:18:30,-19.45,29.82,62.04,38,0,3.71
302,Naze,JP,2020-10-20 01:18:31,28.37,129.48,80.6,74,40,21.92
303,Lakes Entrance,AU,2020-10-20 01:18:31,-37.88,147.98,66.99,70,0,7.0
