City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
349,Udala,ES,43.08,-2.51,55.0,87,75,4.7,broken clouds
350,Marsh Harbour,BS,26.54,-77.06,80.31,75,100,15.66,overcast clouds
351,Lata,PT,40.16,-8.33,57.0,91,1,3.83,clear sky
352,Mbekenyera,TZ,-10.0,38.98,69.62,86,42,2.13,scattered clouds
353,Bougouni,ML,11.42,-7.48,75.4,55,14,3.47,few clouds
354,Halmstad,SE,56.67,12.86,57.99,87,100,29.97,overcast clouds
355,Ushtobe,KZ,45.25,77.98,58.44,30,60,8.52,broken clouds
356,Kaitangata,NZ,-46.28,169.85,59.05,53,94,7.65,overcast clouds
357,Nalundan,PH,9.75,123.07,91.4,55,75,13.87,broken clouds
358,Ketchikan,US,55.34,-131.65,42.8,86,40,5.82,scattered clouds
359,Oia,PT,40.54,-8.54,62.01,91,21,6.35,few clouds
360,Kusa,RU,55.34,59.44,26.1,95,100,11.97,light snow
361,Amapa,BR,1.0,-52.0,75.15,83,8,3.91,clear sky
362,Hadgaon,IN,19.5,77.67,77.99,80,20,4.88,few clouds
363,Lagoa,PT,39.05,-27.98,62.58,67,63,15.64,broken clouds
364,Yerbogachen,RU,61.28,108.01,26.73,97,100,9.57,light snow
